DBN,School Name,Category,Year,Total Enrollment,#Grade 9,#Grade 10,#Grade 11,#Grade 12,#Female,%Female,#Male,%Male,#Asian,%Asian,#Black,%Black,#Hispanic,%Hispanic,#Other,%Other,#White,%White,#ELL Spanish,%ELL Spanish,#ELL Chinese,%ELL Chinese,#ELL Bengali,%ELL Bengali,#ELL Arabic,%ELL Arabic,#ELL Haitian Creole,%ELL Haitian Creole,#ELL French,%ELL French,#ELL Russian,%ELL Russian,#ELL Korean,%ELL Korean,#ELL Urdu,%ELL Urdu,#ELL Other,%ELL Other,ELA #Test Takers,ELA #Level 1,ELA %Level 1,ELA #Level 2,ELA %Level 2,ELA #Level 3,ELA %Level 3,ELA #Level 4,ELA %Level 4,ELA #L3+L4,ELA %L3+L4,Math #Test Takers,Math #Level 1,Math %Level 1,Math #Level 2,Math %Level 2,Math #Level 3,Math %Level 3,Math #Level 4,Math %Level 4,Math #L3+L4,Math %L3+L4,%Minority
24Q585,MASPETH HIGH SCHOOL,All Students,2017-18,1196,430,268,253,245,608,50.8%,588,49.2%,211,,16,0.013000000000000001,515,0.431,72,6.0%,382,31.9%,,,,,,,,,,,,,,,,,,,,,392,32,8.2%,100,25.5%,167,42.6%,93,23.7%,260,66.3%,306,62,20.3%,106,34.6%,95,31.0%,43,14.1%,138,45.1%,0.444
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING A",All Students,2017-18,1027,264,270,243,250,344,33.5%,683,66.5%,322,,102,0.099,351,0.342,124,12.1%,128,12.5%,,,,,,,,,,,,,,,,,,,,,247,24,9.7%,71,28.7%,101,40.9%,51,20.6%,152,61.5%,154,47,30.5%,57,37.0%,40,26.0%,10,6.5%,50,32.5%,0.44100000000000006
31R080,THE MICHAEL J. PETRIDES SCHOOL,All Students,2017-18,457,117,115,110,115,203,44.4%,254,55.6%,36,,112,0.245,88,0.193,39,8.5%,182,39.8%,,,,,,,,,,,,,,,,,,,,,103,11,10.7%,42,40.8%,33,32.0%,17,16.5%,50,48.5%,39,20,51.3%,16,41.0%,,,,,,,0.438
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,All Students,2017-18,443,94,124,99,126,333,75.2%,110,24.8%,30,,98,0.221,96,0.217,30,6.8%,189,42.7%,,,,,,,,,,,,,,,,,,,,,70,,,,,35,50.0%,16,22.9%,51,72.9%,49,8,16.3%,21,42.9%,13,26.5%,7,14.3%,20,40.8%,0.438
21K525,EDWARD R. MURROW HIGH SCHOOL,All Students,2017-18,3789,1113,1022,795,859,2207,58.2%,1581,41.7%,954,,863,0.228,790,0.20800000000000002,141,3.7%,1041,27.5%,,,,,,,,,,,,,,,,,,,,,802,132,16.5%,271,33.8%,277,34.5%,122,15.2%,399,49.8%,730,208,28.5%,272,37.3%,166,22.7%,84,11.5%,250,34.2%,0.43600000000000005
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,All Students,2017-18,3061,774,995,612,680,1293,42.2%,1768,57.8%,1175,,342,0.11199999999999999,991,0.324,20,0.7%,533,17.4%,,,,,,,,,,,,,,,,,,,,,500,107,21.4%,211,42.2%,154,30.8%,28,5.6%,182,36.4%,505,175,34.7%,207,41.0%,96,19.0%,27,5.3%,123,24.4%,0.436
02M394,EMMA LAZARUS HIGH SCHOOL,All Students,2017-18,296,173,29,94,,139,47.0%,157,53.0%,134,,30,0.10099999999999999,98,0.331,8,2.7%,26,8.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.432
28Q440,FOREST HILLS HIGH SCHOOL,All Students,2017-18,3783,943,938,929,973,1966,52.0%,1814,48.0%,900,,307,0.081,1313,0.34700000000000003,141,3.7%,1122,29.7%,,,,,,,,,,,,,,,,,,,,,701,102,14.6%,219,31.2%,237,33.8%,143,20.4%,380,54.2%,504,149,29.6%,213,42.3%,101,20.0%,41,8.1%,142,28.2%,0.42800000000000005
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,All Students,2017-18,3699,1010,940,950,799,1939,52.4%,1759,47.6%,1555,,814,0.22,751,0.203,77,2.1%,502,13.6%,,,,,,,,,,,,,,,,,,,,,794,94,11.8%,252,31.7%,295,37.2%,153,19.3%,448,56.4%,515,154,29.9%,182,35.3%,111,21.6%,68,13.2%,179,34.8%,0.42300000000000004
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HI,All Students,2017-18,2133,570,555,533,475,747,35.0%,1386,65.0%,1003,,406,0.19,498,0.233,132,6.2%,94,4.4%,,,,,,,,,,,,,,,,,,,,,512,40,7.8%,105,20.5%,244,47.7%,123,24.0%,367,71.7%,290,53,18.3%,107,36.9%,99,34.1%,31,10.7%,130,44.8%,0.42300000000000004
27Q323,SCHOLARS' ACADEMY,All Students,2017-18,683,188,190,157,148,390,57.1%,293,42.9%,,,139,0.204,149,0.218,,,281,41.1%,,,,,,,,,,,,,,,,,,,,,168,,,,,52,31.0%,93,55.4%,145,86.3%,18,7,38.9%,10,55.6%,,,,,,,0.422
02M376,NYC ISCHOOL,All Students,2017-18,457,124,105,116,112,251,54.9%,205,44.9%,39,,79,0.17300000000000001,110,0.24100000000000002,41,9.0%,188,41.1%,,,,,,,,,,,,,,,,,,,,,87,,,,,35,40.2%,41,47.1%,76,87.4%,48,,,16,33.3%,19,39.6%,,,,,0.41400000000000003
15K684,MILLENNIUM BROOKLYN HS,All Students,2017-18,672,180,169,158,165,363,54.0%,309,46.0%,70,,134,0.19899999999999998,141,0.21,54,8.0%,273,40.6%,,,,,,,,,,,,,,,,,,,,,132,,,,,47,35.6%,78,59.1%,125,94.7%,71,,,,,28,39.4%,23,32.4%,51,71.8%,0.409
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,All Students,2017-18,410,105,105,99,101,236,57.6%,173,42.2%,182,,118,0.28800000000000003,49,0.12,42,10.2%,19,4.6%,,,,,,,,,,,,,,,,,,,,,94,11,11.7%,9,9.6%,39,41.5%,35,37.2%,74,78.7%,68,14,20.6%,23,33.8%,21,30.9%,10,14.7%,31,45.6%,0.40800000000000003
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",All Students,2017-18,329,91,91,77,70,168,51.1%,161,48.9%,123,,54,0.16399999999999998,78,0.237,9,2.7%,65,19.8%,,,,,,,,,,,,,,,,,,,,,83,15,18.1%,26,31.3%,21,25.3%,21,25.3%,42,50.6%,6,,,,,,,,,,,0.40099999999999997
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,All Students,2017-18,557,,212,200,145,237,42.5%,320,57.5%,318,,58,0.10400000000000001,165,0.29600000000000004,6,1.1%,10,1.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
22K405,MIDWOOD HIGH SCHOOL,All Students,2017-18,4058,1140,1109,993,816,2284,56.3%,1774,43.7%,1447,,1107,0.273,509,0.125,101,2.5%,894,22.0%,,,,,,,,,,,,,,,,,,,,,1014,90,8.9%,217,21.4%,340,33.5%,367,36.2%,707,69.7%,872,188,21.6%,220,25.2%,237,27.2%,227,26.0%,464,53.2%,0.398
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,All Students,2017-18,438,108,116,113,101,213,48.6%,225,51.4%,68,,49,0.11199999999999999,123,0.281,29,6.6%,169,38.6%,,,,,,,,,,,,,,,,,,,,,93,,,28,30.1%,44,47.3%,,,,,86,,,41,47.7%,32,37.2%,,,,,0.393
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,All Students,2017-18,639,188,177,143,131,285,44.6%,354,55.4%,97,,110,0.172,139,0.218,10,1.6%,283,44.3%,,,,,,,,,,,,,,,,,,,,,100,23,23.0%,36,36.0%,29,29.0%,12,12.0%,41,41.0%,95,26,27.4%,51,53.7%,,,,,,,0.39
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHO,All Students,2017-18,320,98,77,75,70,199,62.2%,121,37.8%,41,,19,0.059000000000000004,104,0.325,6,1.9%,150,46.9%,,,,,,,,,,,,,,,,,,,,,82,,,24,29.3%,36,43.9%,,,,,76,22,28.9%,34,44.7%,,,,,,,0.384
